hour,weekday,weekends,route
0.0,840.0,1350.0,1
1.0,540.0,849.0,1
2.0,423.0,619.0,1
3.0,436.0,407.0,1
4.0,953.0,395.0,1
5.0,2183.0,667.0,1
6.0,3195.0,1132.0,1
7.0,3596.0,1610.0,1
8.0,3562.0,2207.0,1
9.0,3503.0,2899.0,1
10.0,3485.0,3320.0,1
11.0,3526.0,3530.0,1
12.0,3592.0,3582.0,1
13.0,3693.0,3616.0,1
14.0,3800.0,3575.0,1
15.0,3702.0,3569.0,1
16.0,3463.0,3502.0,1
17.0,3439.0,3349.0,1
18.0,3461.0,3181.0,1
19.0,3133.0,3012.0,1
20.0,2755.0,2928.0,1
21.0,2512.0,2698.0,1
22.0,2077.0,2144.0,1
23.0,1440.0,1382.0,1
0.0,1320.0,2188.0,5
1.0,834.0,1331.0,5
2.0,665.0,968.0,5
3.0,848.0,667.0,5
4.0,1861.0,646.0,5
5.0,3891.0,1037.0,5
6.0,6041.0,1984.0,5
7.0,7018.0,2965.0,5
8.0,7008.0,4154.0,5
9.0,6943.0,5530.0,5
10.0,6695.0,6424.0,5
11.0,6708.0,6938.0,5
12.0,6795.0,7139.0,5
13.0,7011.0,7182.0,5
14.0,7330.0,7351.0,5
15.0,7503.0,6832.0,5
16.0,7554.0,6621.0,5
17.0,7413.0,6341.0,5
18.0,6734.0,5925.0,5
19.0,5902.0,5925.0,5
20.0,5057.0,5652.0,5
21.0,4504.0,4719.0,5
22.0,3514.0,3385.0,5
23.0,2357.0,2138.0,5
0.0,825.0,1444.0,22
1.0,464.0,855.0,22
2.0,368.0,594.0,22
3.0,463.0,343.0,22
4.0,1336.0,343.0,22
5.0,3188.0,639.0,22
6.0,5109.0,1298.0,22
7.0,5928.0,1943.0,22
8.0,5881.0,2755.0,22
9.0,5486.0,3892.0,22
10.0,5131.0,4471.0,22
11.0,5153.0,4757.0,22
12.0,5312.0,5099.0,22
13.0,5608.0,5158.0,22
14.0,6162.0,5249.0,22
15.0,6440.0,5003.0,22
16.0,6532.0,4601.0,22
17.0,6456.0,4429.0,22
18.0,5980.0,4249.0,22
19.0,4832.0,4130.0,22
20.0,3738.0,3606.0,22
21.0,3213.0,2952.0,22
22.0,2452.0,2066.0,22
