ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
1201044	133	S	12	59	36770	9	8.991	33.66184	-117.7553		OR	1	BARRANCA2	565			
1201052	133	S	12	59	36770	9	8.991	33.66184	-117.7553		FR	1	BARRANCA 2	565			
1201054	133	S	12	59	36770	9	8.991	33.66184	-117.7553	1.285	ML	3	BARRANCA2	565			
1201058	133	N	12	59	36770	8.866	8.857	33.659542	-117.756294		OR	1	BARRANCA1	551			
1201064	133	N	12	59	36770	8.732	8.723	33.657392	-117.757636		FR	1	BARRANCA 1	551			
1201066	133	N	12	59	36770	9	8.991	33.661697	-117.754967	.67	ML	2	BARRANCA1	551			
1201070	133	N	12	59	36770	9.1	9.091	33.663305	-117.753976		OR	1	BARRANCA2	553			
1201076	133	N	12	59	36770	9.1	9.091	33.663305	-117.753976	.185	ML	3	BARRANCA2	553			
1201081	405	S	12	59	36770	.77	.54	33.647015	-117.744091		OR	1	IRVINE C1	1414			
1201085	405	S	12	59	36770	.77	.54	33.647015	-117.744091	.18	HV	1	IRVINE C1	1414			
1201087	405	S	12	59	36770	.77	.54	33.647015	-117.744091	.18	ML	5	IRVINE C1	1414			
1201093	405	N	12	59	36770	.93	.7	33.64809	-117.746598		OR	1	IRVINE C1	1331			
1201098	405	N	12	59	36770	.93	.7	33.64809	-117.746598		FR	2	IRVINE C1	1331			
1201100	405	N	12	59	36770	.93	.7	33.64809	-117.746598	.255	ML	5	IRVINE C1	1331			
1201106	405	S	12	59	36770	.96	.73	33.64795	-117.747203		OR	1	IRVINE C2	1413			
1201110	405	S	12	59	36770	.96	.73	33.64795	-117.747203	.4	HV	1	IRVINE C2	1413			
1201112	405	S	12	59	36770	.96	.73	33.64795	-117.747203	.4	ML	4	IRVINE C2	1413			
1201118	405	S	12	59	36770	.6	.37	33.646186	-117.741301	.455	ML	5	N OF 5	2436			
1201120	405	N	12	59	36770	1.11	.88	33.648958	-117.74955		OR	1	IRVINE C2	1332			
1201125	405	N	12	59	36770	1.11	.88	33.648958	-117.74955	.32	ML	6	IRVINE C2	1332			
1201131	405	S	12	59	36770	1.57	1.34	33.650789	-117.757205	.485	HV	1	N OF 133	2474			
1201134	405	S	12	59	36770	1.93	1.7	33.651837	-117.763315	.39	HV	2	S OF 133	2475			
1201137	405	S	12	59	36770	2.88	2.65	33.657534	-117.778085		OR	1	SAND CANYON	1560			
1201143	405	S	12	59	36770	2.88	2.65	33.657534	-117.778085	.48	HV	1	SAND CANYON	1560			
1201145	405	S	12	59	36770	2.88	2.65	33.657534	-117.778085	.48	ML	4	SAND CANYON	1560			
1201151	405	N	12	59	36770	2.99	2.76	33.658747	-117.77939		OR	1	SAND CANYON 2	1551			
1201157	405	N	12	59	36770	2.99	2.76	33.658747	-117.77939	.21	HV	2	SAND CANYON	1551			
1201159	405	N	12	59	36770	3.04	2.81	33.659163	-117.780107	.21	ML	5	SAND CANYON	1551			
1201165	405	S	12	59	36770	3.84	3.61	33.66293	-117.793047		OR	1	JEFFREY 1	1410			
1201171	405	S	12	59	36770	3.84	3.61	33.66293	-117.793047	.36	ML	4	JEFFREY 1	1410			
1201177	405	N	12	59	36770	3.86	3.63	33.663379	-117.793258		OR	1	JEFFREY 1	1335			
1201181	405	N	12	59	36770	3.86	3.63	33.663379	-117.793258		FR	2	JEFFREY 1	1335			
1201183	405	N	12	59	36770	3.86	3.63	33.663379	-117.793258	.36	HV	1	JEFFREY 1	1335			
1201185	405	N	12	59	36770	3.86	3.63	33.663379	-117.793258	.36	ML	4	JEFFREY 1	1335			
1201191	405	S	12	59	36770	4.03	3.8	33.663404	-117.796283		OR	1	JEFFREY 2	1409			
1201195	405	S	12	59	36770	4.03	3.8	33.663404	-117.796283		FR	1	JEFFREY 2	1409			
1201197	405	S	12	59	36770	4.03	3.8	33.663404	-117.796283	.585	ML	4	JEFFREY 2	1409			
1201203	405	N	12	59	36770	4.03	3.8	33.663798	-117.796176		OR	1	JEFFREY 2	1336			
1201209	405	N	12	59	36770	4.03	3.8	33.663798	-117.796176	.575	HV	1	JEFFREY 2	1336			
1201211	405	N	12	59	36770	4.03	3.8	33.663798	-117.796176	.575	ML	4	JEFFREY 2	1336			
1201217	405	S	12	59	36770	5.01	4.78	33.666093	-117.81298	.51	ML	4	YALE	2603			
1201222	405	N	12	59	36770	5.01	4.78	33.666407	-117.812902	.51	ML	4	YALE	2603			
1201227	405	S	12	59	36770	5.01	4.78	33.666093	-117.81298	.51	HV	1	YALE	2603			
1201229	405	N	12	59	36770	5.01	4.78	33.666407	-117.812902	.51	HV	1	YALE	2603			
1201232	405	S	12	59	36770	5.5	5.27	33.668738	-117.820882		OR	1	CULVER 1	1408			
1201238	405	S	12	59	36770	5.5	5.27	33.668738	-117.820882	.32	HV	1	CULVER 1	1408			
1201240	405	S	12	59	36770	5.5	5.27	33.668738	-117.820882	.32	ML	4	CULVER 1	1408			
1201246	405	N	12	59	36770	5.55	5.32	33.669218	-117.821657		OR	1	CULVER 1	1341			
1201251	405	N	12	59	36770	5.55	5.32	33.669218	-117.821657		FR	2	CULVER 1	1341			
1201254	405	N	12	59	36770	5.55	5.32	33.669218	-117.821657	.345	ML	4	CULVER 1	1341			
1201259	405	N	12	59	36770	5.55	5.32	33.669218	-117.821657	.345	HV	1	CULVER 1	1341			
1201262	405	S	12	59	36770	5.69	5.46	33.669737	-117.823958		OR	1	CULVER 2	1407			
1201266	405	S	12	59	36770	5.69	5.46	33.669737	-117.823958		FR	1	CULVER 2	1407			
1201268	405	S	12	59	36770	5.69	5.46	33.669737	-117.823958	.3	HV	1	CULVER 2	1407			
1201270	405	S	12	59	36770	5.69	5.46	33.669737	-117.823958	.355	ML	4	CULVER 2	1407			
1201276	405	N	12	59	36770	5.74	5.51	33.670291	-117.824699		OR	1	CULVER 2	1342			
1201281	405	N	12	59	36770	5.74	5.51	33.670291	-117.824699	.33	HV	1	CULVER 2	1342			
1201283	405	N	12	59	36770	5.74	5.51	33.670291	-117.824699	.33	ML	5	CULVER 2	1342			
1201290	405	S	12	59	36770	6.1	5.87	33.671983	-117.830554	.555	HV	1	HARVARD	2602			
1201292	405	S	12	59	36770	6.21	5.98	33.672571	-117.832329	.555	ML	6	HARVARD	2602			
1201298	405	N	12	59	36770	6.21	5.98	33.672851	-117.832271	.555	ML	5	HARVARD	2602			
1201304	405	N	12	59	36770	6.21	5.98	33.672851	-117.832271	.555	HV	1	HARVARD	2602			
1201307	405	S	12	59	36770	6.8	6.57	33.675863	-117.84179		OR	2	JAMBOREE1	1406			
1201313	405	S	12	59	36770	6.8	6.57	33.675863	-117.84179	.455	HV	1	JAMBOREE 1	1406			
1201315	405	S	12	59	36770	6.8	6.57	33.675863	-117.84179	.4	ML	6	JAMBOREE1	1406			
1201322	405	N	12	59	36770	6.85	6.62	33.676465	-117.842488		OR	1	JAMBOREE1	1343			
1201327	405	N	12	59	36770	6.85	6.62	33.676465	-117.842488		FR	2	JAMBOREE1	1343			
1201331	405	N	12	59	36770	6.85	6.62	33.676465	-117.842488	.43	HV	1	JAMBOREE1	1343			
